baseline	bpc_ref	pm_bpc	Nc_break_even
kenlm_3gram	1.794067	0.861552	143369.85645124625
kenlm_4gram	1.792486	0.861552	143613.28707338593
kenlm_5gram	1.792346	0.861552	143634.87277244584
kenlm_6gram	1.792355	0.861552	143633.5476301785
zstd_22	2.324185	0.861552	91406.70432786585
cmix	1.588336	0.861552	183953.51578363593
